"n_items","theme_id","theme_name","parent_theme_id","parent_theme_name"
23,21,Universal Building Set,1,Technic
29,280,Jack Stone,279,"4 Juniors"
38,157,Bricktober,598,Promotional
4,596,Marvel Super Heroes,591,Juniors
18,700,Justice League,695,Super Heroes DC
166,740,Storage,501,Gear
85,736,Posters and Art Prints,501,Gear
76,456,Train,443,Service Packs
92,235,"4.5V",233,Train
19,538,Series 3 Minifigures,535,Collectible Minifigures
16,573,Constraction,571,Legends of Chima
18,153,Pirates II,147,Pirates
51,171,Ultimate Collector Series,158,Star Wars
16,762,Series 26 Minifigures,535,Collectible Minifigures
10,140,Space Police II,126,Space
8,615,Cars,591,Juniors
19,541,Series 6 Minifigures,535,Collectible Minifigures
105,130,Classic Space,126,Space
75,730,Audio and Visual Media,501,Gear
19,544,Series 9 Minifigures,535,Collectible Minifigures
16,679,Mars Exploration,52,City
23,675,The LEGO Movie II,535,Collectible Minifigures
21,534,Universal Building Set,507,Educational and Dacta
19,536,Series 1 Minifigures,535,Collectible Minifigures
21,545,Series 10 Minifigures,535,Collectible Minifigures
21,506,Cars,754,Disney
16,520,RCX,518,Mindstorms
18,641,Mickey & Friends,754,Disney
15,209,Star Wars,207,Advent
11,18,Star Wars,1,Technic
16,725,Series 23 Minifigures,535,Collectible Minifigures
13,216,Friends,207,Advent
1,104,Town Plan,50,Town
19,539,Series 4 Minifigures,535,Collectible Minifigures
707,503,Key Chain,501,Gear
3,309,Aquaraiders I,307,Aquazone
357,739,Stationery and Office Supplies,501,Gear
451,67,Classic Town,50,Town
47,105,World City,50,Town
152,453,Technic,443,Service Packs
370,632,Town,504,Duplo
15,704,Guardians of the Galaxy,696,Super Heroes Marvel
20,684,DC Super Heroes,535,Collectible Minifigures
21,137,Mars Mission,126,Space
5,311,Aquasharks,307,Aquazone
62,63,Traffic,52,City
34,687,Frozen,608,Disney
48,4,Expert Builder,1,Technic
30,528,Supplemental,507,Educational and Dacta
2,274,Jurassic Park III,273,Studios
3,261,Star Wars,258,Mindstorms
9,517,Learning,507,Educational and Dacta
11,136,M:Tron,126,Space
36,533,Town,507,Educational and Dacta
6,360,Protectors,324,Bionicle
10,660,Little Forest Friends,504,Duplo
19,554,Series 15 Minifigures,535,Collectible Minifigures
7,277,Mosaic,276,Sculptures
19,547,Series 11 Minifigures,535,Collectible Minifigures
40,521,WeDo,518,Mindstorms
86,650,Legoville,632,Town
6,139,Space Police I,126,Space
2,667,Fantastic Beasts,246,Harry Potter
14,262,EV3,258,Mindstorms
16,743,Series 24 Minifigures,535,Collectible Minifigures
8,308,Aquanauts,307,Aquazone
14,417,Fire,411,Legoland
6,418,Gas Station,411,Legoland
4,214,Creator,207,Advent
7,698,UCS,697,Batman
1,212,Classic Basic,207,Advent
4,138,RoboForce,126,Space
5,531,eLAB,529,Technic
1,414,Castle,411,Legoland
86,198,Knights Kingdom II,186,Castle
23,618,The LEGO Ninjago Movie,535,Collectible Minifigures
88,56,Construction,52,City
298,516,Duplo and Explore,507,Educational and Dacta
241,759,Story Books,497,Books
22,106,City Center,50,Town
7,662,Princess Castle,504,Duplo
11,472,Gears,465,Universal Building Set
37,66,Trains,52,City
123,697,Batman,695,Super Heroes DC
22,59,Harbor,52,City
100,731,Bag and Luggage Tags,501,Gear
5,593,Disney Princess,591,Juniors
23,510,Serious Play,507,Educational and Dacta
8,231,Thanksgiving,206,Seasonal
21,141,Space Police III,126,Space
16,718,Series 22 Minifigures,535,Collectible Minifigures
16,188,Black Knights,186,Castle
20,681,Series 19 Minifigures,535,Collectible Minifigures
11,133,Ice Planet 2002,126,Space
19,134,Insectoids,126,Space
12,86,Divers,50,Town
22,93,Space Port,50,Town
122,702,Avengers,696,Super Heroes Marvel
20,692,Series 20 Minifigures,535,Collectible Minifigures
18,461,Hockey,458,Sports
7,312,Hydronauts,307,Aquazone
20,132,Futuron,126,Space
36,228,Creator,227,Christmas
11,636,My Town,632,Town
5,17,Speed Slammers,1,Technic
21,232,Valentine,206,Seasonal
20,622,Series 18 Minifigures,535,Collectible Minifigures
8,595,Friends,591,Juniors
7,194,Forestmen,186,Castle
19,556,Series 16 Minifigures,535,Collectible Minifigures
6,659,Dolls,504,Duplo
11,310,Aquaraiders II,307,Aquazone
10,614,Jungle,52,City
12,546,Team GB,535,Collectible Minifigures
3,620,Jurassic World: Fallen Kingdom,591,Juniors
1,156,Mini,155,Modular Buildings
17,19,Supplemental,1,Technic
12,146,Galaxy Squad,126,Space
73,634,Trains,504,Duplo
21,118,Promotional,112,Racers
15,303,Ultra Agents,302,Agents
21,566,The Lord of the Rings,561,The Hobbit and Lord of the Rings
98,706,Spider-Man,696,Super Heroes Marvel
99,735,Plush Toys,501,Gear
18,619,Cities of Wonders,408,LEGO Brand Store
8,707,X-Men,696,Super Heroes Marvel
58,529,Technic,507,Educational and Dacta
19,537,Series 2 Minifigures,535,Collectible Minifigures
5,592,DC Comics Super Heroes,591,Juniors
65,738,Seasonal,501,Gear
42,670,The LEGO Movie II,578,The LEGO Movie
14,701,Superman,695,Super Heroes DC
17,20,Throwbot Slizer,1,Technic
16,753,Series 25 Minifigures,535,Collectible Minifigures
9,420,Hospital,411,Legoland
10,665,Western,504,Duplo
17,195,Fright Knights,186,Castle
215,368,HO 1:87 Vehicles,365,System
22,745,Disney 100,535,Collectible Minifigures
5,628,Dora the Explorer,504,Duplo
28,744,Stuntz,52,City
8,705,Iron Man,696,Super Heroes Marvel
9,657,Action Wheelers,504,Duplo
8,189,Classic Castle,186,Castle
10,154,Pirates III,147,Pirates
11,460,Gravity Games,458,Sports
21,87,Extreme Team,50,Town
44,708,The LEGO Batman Movie,697,Batman
19,548,Series 12 Minifigures,535,Collectible Minifigures
18,635,Winnie the Pooh,754,Disney
5,313,Stingrays,307,Aquazone
3,639,Sofia the First,504,Duplo
163,227,Christmas,206,Seasonal
31,423,Vehicle,411,Legoland
19,552,Series 14 Minifigures,535,Collectible Minifigures
15,253,Skylines,252,Architecture
223,737,Role Play Toys and Costumes,501,Gear
57,372,Town Plan,365,System
32,410,Pick A Model,408,LEGO Brand Store
289,742,Video Games and Accessories,501,Gear
25,562,The Hobbit,561,The Hobbit and Lord of the Rings
69,35,Bricks & More,34,Make & Create
87,524,Service Packs,507,Educational and Dacta
33,509,SPIKE,507,Educational and Dacta
25,65,Arctic,52,City
9,54,Cargo,52,City
21,197,Knights Kingdom I,186,Castle
9,201,Royal Knights,186,Castle
50,229,Easter,206,Seasonal
11,421,Police,411,Legoland
109,462,Soccer,458,Sports
122,746,Database Sets,301,Other
19,144,UFO,126,Space
5,207,Advent,206,Seasonal
16,714,Looney Tunes,535,Collectible Minifigures
19,550,The Simpsons Series 1,535,Collectible Minifigures
19,542,Series 7 Minifigures,535,Collectible Minifigures
37,674,Early Creator,22,Creator
1,210,Belville,207,Advent
4,627,Planes,754,Disney
10,498,Technic,497,Books
19,553,The Simpsons Series 2,535,Collectible Minifigures
25,656,Harry Potter and Fantastic Beasts Series 1,535,Collectible Minifigures
3,666,Zooters,504,Duplo
7,187,Black Falcons,186,Castle
2,523,Samsonite,507,Educational and Dacta
2,211,Castle,207,Advent
3,629,Miles From Tomorrowland,754,Disney
106,236,"9V",233,Train
45,401,Heroes,400,Hero Factory
18,3,Competition,1,Technic
204,467,Basic,465,Universal Building Set
65,234,"12V",233,Train
53,470,Classic Basic,465,Universal Building Set
16,143,Supplemental,126,Space
21,555,Disney Series 1,535,Collectible Minifigures
214,732,Clocks and Watches,501,Gear
255,672,Creator 3-in-1,22,Creator
96,473,Supplemental,465,Universal Building Set
16,712,Series 21 Minifigures,535,Collectible Minifigures
327,733,Houseware,501,Gear
40,53,Airport,52,City
5,722,Jurassic World,504,Duplo
211,760,Activity Books,497,Books
6,526,Soft Bricks,507,Educational and Dacta
31,230,Halloween,206,Seasonal
27,199,Lion Knights,186,Castle
19,540,Series 5 Minifigures,535,Collectible Minifigures
11,64,Off-Road,52,City
23,663,Rattles,504,Duplo
14,190,Dragon Knights,186,Castle
19,341,Playsets,324,Bionicle
21,677,Disney Series 2,535,Collectible Minifigures
20,263,Pirates of the Caribbean,608,Disney
15,388,Mickey Mouse,608,Disney
3,422,Space,411,Legoland
17,471,Ferries,598,Promotional
4,751,Marvel,207,Advent
6,710,Harry Potter,207,Advent
4,648,Doc McStuffins,754,Disney
6,633,Toy Story,754,Disney
4,597,Ninjago,591,Juniors
36,193,Fantasy Era,186,Castle
16,661,Little Robots,504,Duplo
9,306,Mission Deep Freeze,304,Alpha Team
21,90,Paradisa,50,Town
9,131,Exploriens,126,Space
29,16,RoboRiders,1,Technic
19,691,Harry Potter and Fantastic Beasts Series 2,535,Collectible Minifigures
4,424,Western,411,Legoland
3,419,Harbor,411,Legoland
19,543,Series 8 Minifigures,535,Collectible Minifigures
1,241,Supplemental,233,Train
100,579,Disney Princess,608,Disney
120,58,Fire,52,City
124,734,Magnets,501,Gear
31,572,Speedorz,571,Legends of Chima
67,673,Creator Expert,22,Creator
531,371,Supplemental,365,System
13,92,Res-Q,50,Town
25,413,Building,411,Legoland
41,741,Tabletop Games and Puzzles,501,Gear
17,305,Mission Deep Sea,304,Alpha Team
26,478,X-Pod,22,Creator
19,298,Dino Island,296,Adventurers
25,122,RC,112,Racers
10,299,Jungle,296,Adventurers
16,647,Castle,504,Duplo
22,260,RCX,258,Mindstorms
16,715,Marvel Series 1,535,Collectible Minifigures
31,626,Bob the Builder,504,Duplo
19,549,The LEGO Movie,535,Collectible Minifigures
4,651,Pirates,504,Duplo
35,459,Basketball,458,Sports
16,720,The Muppets,535,Collectible Minifigures
149,756,Samsonite,365,System
19,611,Series 17 Minifigures,535,Collectible Minifigures
60,652,Playhouse,504,Duplo
10,127,Alien Conquest,126,Space
282,525,Technic,524,Service Packs
21,208,City,207,Advent
7,638,Jake and the Never Land Pirates,754,Disney
19,640,Disney Princess,754,Disney
19,551,Series 13 Minifigures,535,Collectible Minifigures
26,297,Desert,296,Adventurers
16,91,Race,50,Town
3,287,Spider-Man,279,"4 Juniors"
9,519,NXT,518,Mindstorms
10,530,Control Lab,529,Technic
3,203,Wolfpack,186,Castle
10,755,Spidey and His Amazing Friends,706,Spider-Man
2,213,Clikits,207,Advent
3,191,Dark Forest,186,Castle
1,215,Pirates,207,Advent
82,148,Pirates I,147,Pirates
28,300,Orient Expedition,296,Adventurers
146,758,Non-fiction Books,497,Books
25,196,Kingdoms,186,Castle
18,412,Airport,411,Legoland
154,409,Monthly Mini Model Build,408,LEGO Brand Store
370,761,Activity Books with LEGO Parts,497,Books
388,505,Basic Set,504,Duplo
16,658,Dino,504,Duplo
99,757,Ideas Books,497,Books
28,55,Coast Guard,52,City
200,61,Police,52,City
36,403,Villains,400,Hero Factory
25,518,Mindstorms,507,Educational and Dacta
35,616,The LEGO Ninjago Movie,435,Ninjago
23,711,The LEGO Batman Movie Series 2,535,Collectible Minifigures
40,94,Town Jr.,50,Town
18,631,Thomas & Friends,504,Duplo
37,114,Ferrari,112,Racers
15,655,Powered Up,438,Power Functions
7,369,Jumbo Bricks,365,System
19,557,DFB Minifigures,535,Collectible Minifigures
28,129,Blacktron II,126,Space
6,88,Launch Command,50,Town
11,51,Arctic,50,Town
23,609,The LEGO Batman Movie Series 1,535,Collectible Minifigures
10,123,World Racers,112,Racers
9,653,DC Comics,504,Duplo
7,271,Prince of Persia,608,Disney
30,135,Life On Mars,126,Space
17,750,Marvel Series 2,535,Collectible Minifigures
17,729,Airlines,598,Promotional
19,728,McDonalds,598,Promotional
9,630,Marvel,504,Duplo
9,128,Blacktron I,126,Space
12,142,Spyrius,126,Space
52,204,Designer Sets,22,Creator
24,60,Hospital,52,City
42,416,Construction,411,Legoland
44,259,NXT,258,Mindstorms
21,57,Farm,52,City
4,406,Inventor,22,Creator
13,664,Toolo,504,Duplo
5,89,Outback,50,Town
1,415,Coast Guard,411,Legoland
2,511,Building Set with People,507,Educational and Dacta
4,145,Unitron,126,Space
