"year","version","max_version","n_sets_year","bigger_set","n_sets_year_theme","n_sets_year_parent","theme_name","parent_theme_name","img_url","num_parts"
1963,2,2,237,468,5,28,Samsonite,System,https://cdn.rebrickable.com/media/sets/450-2.jpg,468
1995,1,1,197,1730,1,65,Educational and Dacta,Educational and Dacta,https://cdn.rebrickable.com/media/sets/9609-1.jpg,1730
1967,1,1,34,712,12,16,Samsonite,System,https://cdn.rebrickable.com/media/sets/080-2.jpg,712
1985,1,1,184,1534,24,29,Technic,Educational and Dacta,https://cdn.rebrickable.com/media/sets/1034-1.jpg,1534
1990,1,1,124,1534,7,8,Technic,Educational and Dacta,https://cdn.rebrickable.com/media/sets/9605-1.jpg,1534
2006,1,1,408,2000,16,180,Make & Create,Make & Create,https://cdn.rebrickable.com/media/sets/5491-1.jpg,2000
1964,1,1,112,253,8,8,System,System,https://cdn.rebrickable.com/media/sets/323-1.jpg,253
1980,2,2,125,787,24,38,"12V",Train,https://cdn.rebrickable.com/media/sets/7740-1.jpg,787
1961,1,1,66,760,1,62,Town Plan,System,https://cdn.rebrickable.com/media/sets/810-2.jpg,760
1989,2,2,148,918,24,24,Pirates I,Pirates,https://cdn.rebrickable.com/media/sets/6285-1.jpg,918
2003,1,1,468,5253,1,11,Serious Play,Educational and Dacta,https://cdn.rebrickable.com/media/sets/2000400-1.jpg,5253
2013,1,1,748,2989,2,18,Creator Expert,Creator,https://cdn.rebrickable.com/media/sets/10234-1.jpg,2989
2015,2,2,868,9987,23,432,Legends of Chima,Legends of Chima,https://cdn.rebrickable.com/media/sets/bigbox-1.jpg,9987
2023,1,1,974,6181,14,541,Icons,Icons,https://cdn.rebrickable.com/media/sets/10316-1.jpg,6181
2010,1,1,539,5200,3,18,Serious Play,Educational and Dacta,https://cdn.rebrickable.com/media/sets/2000409-1.jpg,5200
2012,1,1,735,2772,1,271,Modular Buildings,Modular Buildings,https://cdn.rebrickable.com/media/sets/10224-1.jpg,2772
1965,1,1,51,304,8,43,Samsonite,System,https://cdn.rebrickable.com/media/sets/610-3.jpg,304
1977,1,1,117,608,8,8,Expert Builder,Technic,https://cdn.rebrickable.com/media/sets/853-1.jpg,608
2020,1,1,1135,9036,5,612,Icons,Icons,https://cdn.rebrickable.com/media/sets/10276-1.jpg,9036
2021,1,1,1197,11695,4,739,LEGO Art,LEGO Art,https://cdn.rebrickable.com/media/sets/31203-1.jpg,11695
1982,1,1,91,744,8,36,Universal Building Set,Universal Building Set,https://cdn.rebrickable.com/media/sets/599-1.jpg,744
1992,1,1,142,954,29,10,Technic,Technic,https://cdn.rebrickable.com/media/sets/8868-1.jpg,954
1997,1,1,279,1417,5,24,Universal Building Set,Educational and Dacta,https://cdn.rebrickable.com/media/sets/9280-1.jpg,1417
2002,2,2,555,3116,4,4,Ultimate Collector Series,Star Wars,https://cdn.rebrickable.com/media/sets/10030-1.jpg,3116
2004,1,1,437,2000,14,202,Creator,Creator,https://cdn.rebrickable.com/media/sets/4425-1.jpg,2000
2008,1,1,452,5922,3,13,Creator Expert,Creator,https://cdn.rebrickable.com/media/sets/10189-1.jpg,5922
2017,1,1,991,7541,2,2,Ultimate Collector Series,Star Wars,https://cdn.rebrickable.com/media/sets/75192-1.jpg,7541
1973,1,1,75,665,11,30,Universal Building Set,Universal Building Set,https://cdn.rebrickable.com/media/sets/8-3.jpg,665
1974,1,1,40,412,2,15,Universal Building Set,Universal Building Set,https://cdn.rebrickable.com/media/sets/145-1.jpg,412
1991,1,1,173,2195,2,11,Universal Building Set,Educational and Dacta,https://cdn.rebrickable.com/media/sets/9452-1.jpg,2195
1966,1,1,203,817,57,180,Samsonite,System,https://cdn.rebrickable.com/media/sets/004-1.jpg,817
1976,1,1,79,683,9,5,Building Set with People,Educational and Dacta,https://cdn.rebrickable.com/media/sets/1045-2.jpg,683
1968,1,1,43,470,16,21,Samsonite,System,https://cdn.rebrickable.com/media/sets/502-1.jpg,470
1981,1,1,88,775,3,3,Classic Castle,Castle,https://cdn.rebrickable.com/media/sets/6075-2.jpg,775
1983,1,1,74,570,5,8,"12V",Train,https://cdn.rebrickable.com/media/sets/7727-1.jpg,570
1967,1,1,34,712,11,11,System,System,https://cdn.rebrickable.com/media/sets/080-1.jpg,712
1987,1,1,237,721,27,29,Basic,Universal Building Set,https://cdn.rebrickable.com/media/sets/557-1.jpg,721
1993,1,1,142,924,6,6,Pirates I,Pirates,https://cdn.rebrickable.com/media/sets/6286-1.jpg,924
2000,1,1,380,2899,2,135,Sculptures,Sculptures,https://cdn.rebrickable.com/media/sets/3450-1.jpg,2899
2001,1,1,427,1868,2,2,Ultimate Collector Series,Star Wars,https://cdn.rebrickable.com/media/sets/10018-1.jpg,1868
1960,1,1,3,476,1,1,Educational and Dacta,Educational and Dacta,https://cdn.rebrickable.com/media/sets/700k-1.jpg,476
1962,1,1,65,755,2,63,Town Plan,System,https://cdn.rebrickable.com/media/sets/810-4.jpg,755
1975,1,1,42,596,1,16,Western,Legoland,https://cdn.rebrickable.com/media/sets/365-1.jpg,596
1984,1,1,96,899,7,1,Town,Educational and Dacta,https://cdn.rebrickable.com/media/sets/1053-1.jpg,899
1996,1,1,202,2542,3,7,Universal Building Set,Educational and Dacta,https://cdn.rebrickable.com/media/sets/9287-1.jpg,2542
2005,1,1,399,5462,26,177,Star Wars,Star Wars,https://cdn.rebrickable.com/media/sets/swmp-1.jpg,5462
2014,1,1,912,3296,1,1,Ultimate Collector Series,Star Wars,https://cdn.rebrickable.com/media/sets/75059-1.jpg,3296
2019,1,1,1040,4784,1,1,Ultimate Collector Series,Star Wars,https://cdn.rebrickable.com/media/sets/75252-1.jpg,4784
1957,1,1,34,238,18,29,Town Plan,System,https://cdn.rebrickable.com/media/sets/700.0-1.jpg,238
1969,1,1,96,798,12,58,Samsonite,System,https://cdn.rebrickable.com/media/sets/842-2.jpg,798
1970,1,1,46,471,1,13,Castle,Legoland,https://cdn.rebrickable.com/media/sets/weetabix1-1.jpg,471
1978,2,2,81,982,2,15,Hobby Sets,Hobby Sets,https://cdn.rebrickable.com/media/sets/398-1.jpg,982
1986,1,1,170,668,4,38,Model Team,Model Team,https://cdn.rebrickable.com/media/sets/5580-1.jpg,668
2024,1,1,391,4210,1,240,Super Heroes DC,Super Heroes DC,https://cdn.rebrickable.com/media/sets/76271-1.jpg,4210
1979,1,1,104,512,14,14,Expert Builder,Technic,https://cdn.rebrickable.com/media/sets/955-1.jpg,512
1999,1,1,367,1406,30,139,Technic,Technic,https://cdn.rebrickable.com/media/sets/8448-1.jpg,1406
2009,1,1,536,3261,2,12,Creator Expert,Creator,https://cdn.rebrickable.com/media/sets/10196-1.jpg,3261
2011,2,2,629,3152,2,2,Ultimate Collector Series,Star Wars,https://cdn.rebrickable.com/media/sets/10221-1.jpg,3152
2018,2,2,968,6020,21,500,Harry Potter,Harry Potter,https://cdn.rebrickable.com/media/sets/71043-1.jpg,6020
1949,1,1,7,178,5,5,System,System,https://cdn.rebrickable.com/media/sets/700.2-1.jpg,178
1972,1,1,43,901,2,2,Learning,Educational and Dacta,https://cdn.rebrickable.com/media/sets/1513-1.jpg,901
1988,1,1,85,898,7,18,Technic,Technic,https://cdn.rebrickable.com/media/sets/8865-1.jpg,898
1958,4,4,135,149,17,125,Town Plan,System,https://cdn.rebrickable.com/media/sets/309-2.jpg,149
1971,1,1,59,917,16,18,Samsonite,System,https://cdn.rebrickable.com/media/sets/105-3.jpg,917
1994,2,2,170,1346,35,22,Technic,Technic,https://cdn.rebrickable.com/media/sets/8880-1.jpg,1346
1998,1,1,404,1712,8,8,RCX,Mindstorms,https://cdn.rebrickable.com/media/sets/9780-1.jpg,1712
2007,1,1,448,5198,2,2,Ultimate Collector Series,Star Wars,https://cdn.rebrickable.com/media/sets/10179-1.jpg,5198
2016,1,1,902,4642,2,429,Ghostbusters,Ghostbusters,https://cdn.rebrickable.com/media/sets/75827-1.jpg,4642
2022,1,1,1009,10001,14,539,Icons,Icons,https://cdn.rebrickable.com/media/sets/10307-1.jpg,10001
