year,n_sets_year,sc_bigger_set,bigger_set,parent_theme_name,top_permanence,years_permanence
1949,7,29.02,178,rest,TRUE,0
1957,34,34.42,238,rest,TRUE,8
1958,135,26.41,149,System,FALSE,
1960,3,55.84,476,rest,TRUE,2
1961,66,81.40,760,rest,TRUE,1
1962,65,80.95,755,rest,FALSE,
1963,237,55.12,468,rest,FALSE,
1964,112,35.77,253,rest,FALSE,
1965,51,40.36,304,rest,FALSE,
1966,203,86.53,817,System,TRUE,1
1967,34,77.08,712,rest,FALSE,
1967,34,77.08,712,rest,FALSE,
1968,43,55.30,470,rest,FALSE,
1969,96,84.82,798,rest,FALSE,
1970,46,55.39,471,rest,FALSE,
1971,59,95.53,917,rest,TRUE,1
1972,43,94.09,901,rest,FALSE,
1973,75,72.85,665,rest,FALSE,
1974,40,50.08,412,rest,FALSE,
1975,42,66.64,596,rest,FALSE,
1976,79,74.47,683,rest,FALSE,
1977,117,67.72,608,rest,FALSE,
1978,81,101.38,982,rest,TRUE,1
1979,104,59.08,512,rest,FALSE,
1980,125,83.83,787,rest,FALSE,
1981,88,82.75,775,rest,FALSE,
1982,91,79.96,744,rest,FALSE,
1983,74,64.30,570,rest,FALSE,
1984,96,93.91,899,rest,FALSE,
1985,184,151.06,1534,rest,TRUE,1
1986,170,73.12,668,rest,FALSE,
1987,237,77.89,721,rest,FALSE,
1988,85,93.82,898,rest,FALSE,
1989,148,95.62,918,rest,FALSE,
1990,124,151.06,1534,rest,TRUE,1
1991,173,210.55,2195,rest,TRUE,1
1992,142,98.86,954,rest,FALSE,
1993,142,96.16,924,rest,FALSE,
1994,170,134.14,1346,rest,FALSE,
1995,197,168.70,1730,rest,FALSE,
1996,202,241.78,2542,rest,TRUE,1
1997,279,140.53,1417,rest,FALSE,
1998,404,167.08,1712,rest,FALSE,
1999,367,139.54,1406,Technic,FALSE,
2000,380,273.91,2899,Sculptures,TRUE,1
2001,427,181.12,1868,rest,FALSE,
2002,555,293.44,3116,rest,TRUE,1
2003,468,485.77,5253,rest,TRUE,1
2004,437,193.00,2000,Creator,FALSE,
2005,399,504.58,5462,Star Wars,TRUE,1
2006,408,193.00,2000,Make & Create,FALSE,
2007,448,480.82,5198,rest,FALSE,
2008,452,545.98,5922,rest,TRUE,1
2009,536,306.49,3261,rest,FALSE,
2010,539,481.00,5200,rest,FALSE,
2011,629,296.68,3152,rest,FALSE,
2012,735,262.48,2772,Modular Buildings,FALSE,
2013,748,282.01,2989,rest,FALSE,
2014,912,309.64,3296,rest,FALSE,
2015,868,911.83,9987,Legends of Chima,TRUE,1
2016,902,430.78,4642,Ghostbusters,FALSE,
2017,991,691.69,7541,rest,FALSE,
2018,968,554.80,6020,Harry Potter,FALSE,
2019,1040,443.56,4784,rest,FALSE,
2020,1135,826.24,9036,Icons,FALSE,
2021,1197,1065.55,11695,LEGO Art,TRUE,1
2022,1009,913.09,10001,Icons,FALSE,
2023,974,569.29,6181,Icons,FALSE,
2024,391,391.90,4210,Super Heroes DC,FALSE,